county,population
"Arapahoe,CO",655808
"Archuleta,CO",14003
"Baca,CO",3432
"Bent,CO",5399
"Boulder,CO",327468
"Broomfield,CO",76121
"Chaffee,CO",20223
"Cheyenne,CO",1732
"Clear Creek,CO",9355
"Conejos,CO",7579
"Costilla,CO",3603
"Crowley,CO",5614
"Custer,CO",5335
"Delta,CO",31602
"Denver,CO",713252
"Dolores,CO",2455
"Douglas,CO",375988
"Eagle,CO",55285
"Elbert,CO",27799
"El Paso,CO",740567
"Fremont,CO",49621
"Garfield,CO",62271
"Gilpin,CO",5891
"Grand,CO",15769
"Gunnison,CO",17267
"Hinsdale,CO",775
"Huerfano,CO",7082
"Jackson,CO",1302
"Jefferson,CO",576143
"Kiowa,CO",1424
"Kit Carson,CO",6961
"Lake,CO",7327
"La Plata,CO",56607
"Larimer,CO",366778
"Las Animas,CO",14327
"Lincoln,CO",5510
"Logan,CO",20823
"Mesa,CO",158636
"Mineral,CO",931
"Moffat,CO",13177
"Montezuma,CO",26468
"Montrose,CO",43811
"Morgan,CO",29239
"Otero,CO",18303
"Ouray,CO",5100
"Park,CO",17939
"Phillips,CO",4449
"Pitkin,CO",16876
"Prowers,CO",11854
"Pueblo,CO",169544
"Rio Blanco,CO",6569
"Rio Grande,CO",11325
"Routt,CO",25007
"Saguache,CO",6623
"San Juan,CO",803
"San Miguel,CO",8003
"Sedgwick,CO",2295
"Summit,CO",30565
"Teller,CO",24857
"Washington,CO",4812
"Weld,CO",350176
"Yuma,CO",9899
"Capitol Planning Region,CT",981447
"Greater Bridgeport Planning Region,CT",327286
"Lower Connecticut River Valley Planning Region,CT",176622
"Naugatuck Valley Planning Region,CT",454083
"Northeastern Connecticut Planning Region,CT",96196
"Northwest Hills Planning Region,CT",113234
"South Central Connecticut Planning Region,CT",573244
"Southeastern Connecticut Planning Region,CT",280403
"Western Connecticut Planning Region,CT",623690
"Kent,DE",186946
"New Castle,DE",575494
"Sussex,DE",255956
"District of Columbia,DC",671803
"Alachua,FL",284030
"Baker,FL",27803
"Bay,FL",185134
"Bradford,FL",27313
"Brevard,FL",630693
"Broward,FL",1947026
"Calhoun,FL",13464
"Charlotte,FL",202661
"Citrus,FL",162529
"Clay,FL",226589
"Collier,FL",397994
"Columbia,FL",71908
"DeSoto,FL",35312
